고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX12,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"二月八月除日採根, 暴乾, 以堅實斷理者, 爲佳. 折之則粉出, 故號爲粉草. 《本草》","2월ㆍ8월 그믐날에 뿌리를 캐어 볕에 말리는데, 단단하고 잘 꺾어지는 것이 좋다. 꺾으면 가루가 나오기 때문에 분초(粉草)라고도 한다. 《본초》",한의학고전DB
CLTX13,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"入足三陰經, 灸則和中, 生則瀉火. 《湯液》","족삼음경으로 들어간다. 구워서 쓰면 중초를 조화시키고, 생것으로 쓰면 화(火)를 사한다. 《탕액》",한의학고전DB
CLTX14,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"嘔吐中滿嗜酒之人, 不可久服多服. 《正傳》",구토하거나 속이 그득하거나 술을 즐기는 사람은 오랫동안 먹거나 많이 먹으면 안 된다. 《정전》,한의학고전DB
CLTX15,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"自中原, 移植於諸道各邑, 而不爲繁殖. 惟咸鏡北道所産最好. 《俗方》",중국에서 들여와 우리나라 여기저기에 심었으나 잘 자라지 않았다. 다만 함경북도에서 자란 것이 가장 좋다. 《속방》,한의학고전DB
CLTX16,KMH15,동의보감,湯液篇卷之二 > 草部 上 > 羌活,"性微溫, 味苦辛, 無毒. 主治, 與獨活大同小異. 《本草》",성질이 약간 따뜻하고 맛은 쓰고 매우며 독이 없다. 주로 치료하는 것은 독활과 대동소이하다. 《본초》,한의학고전DB
CLTX17,KMH15,동의보감,湯液篇卷之二 > 草部 上 > 羌活,"羌活, 乃手足太陽ㆍ足厥陰少陰, 表裏引經之藥也. 撥亂反正之主, 大無不通, 小無不入. 故一身百節痛, 非此不能治. 《入門》",강활은 수태양경ㆍ족태양경ㆍ족궐음경ㆍ족소음경의 표리인경약이다. 난리를 평정하여 정상으로 회복시키는 주체가 되어 크게는 통하게 하지 않는 것이 없고 작게는 들어가지 않는 곳이 없다. 그래서 전신의 관절이 아픈 것은 이것이 아니면 치료할 수 없다. 《입문》,한의학고전DB
CLTX18,KMH15,동의보감,湯液篇卷之二 > 草部 上 > 羌活,"羌活氣雄, 故入足太陽, 獨活氣細, 故入足少陰. 俱是治風, 而有表裏之殊. 《湯液》","강활은 향이 강하여 족태양경에 들어가고, 독활은 향이 약하여 족소음경에 들어간다. 이 약들은 모두 풍을 치료하는데, 다만 표리의 차이가 있을 뿐이다. 《탕액》",한의학고전DB
CLTX19,KMH15,동의보감,湯液篇卷之二 > 草部 上 > 羌活,"我國, 惟江原道, 獨活羌活俱産焉. 《俗方》",우리나라에서는 강원도에서만 독활과 강활이 난다. 《속방》,한의학고전DB
CLTX20,KMH39,동의보감,湯液篇卷之三 > 木部 > 唐 桂皮 > 桂枝,"枝者, 枝條, 非身幹也. 盖取其枝上皮, 取其輕薄而能發散, 正合內經辛甘發散爲陽之義.","지(枝)는 나무 몸통이 아니고 나뭇가지를 말하는 것이다. 나뭇가지의 겉껍질을 쓴다. 가볍고 얇아서 발산시킬 수 있으니 《내경》의 ""매운맛과 단맛은 발산시키니 양(陽)이 된다""는 뜻에 부합된다.",한의학고전DB
CLTX21,KMH39,동의보감,湯液篇卷之三 > 木部 > 唐 桂皮 > 桂枝,"入足太陽經, 能散血分寒邪. 《本草》",족태양경에 들어가 혈분의 한사를 발산시킨다. 《본초》,한의학고전DB
CLTX22,KMH39,동의보감,湯液篇卷之三 > 木部 > 唐 桂皮 > 桂枝,"表虛自汗, 以桂枝發其邪, 衛和則表密, 汗自止, 非桂枝能收汗也. 《丹心》",표(表)가 허해서 땀이 저절로 나올 때 계지로 그 사기를 발산시키면 위기가 조화되고 표(表)가 치밀해져서 땀이 저절로 멎는 것이니 계지가 땀을 수렴하는 것은 아니다. 《단심》,한의학고전DB
CLTX23,KMH39,동의보감,湯液篇卷之三 > 木部 > 唐 桂皮 > 桂枝,"桂枝氣味俱輕, 故能上行, 發散於表. 《丹心》",계지는 기미가 모두 가벼워서 위로 올라가 표(表)를 발산시킨다. 《단심》,한의학고전DB
CLTX24,KMH39,동의보감,湯液篇卷之三 > 木部 > 唐 桂皮 > 桂枝,"仲景用桂枝發表, 肉桂補腎. 本乎天者親上, 本乎地者親下, 自然之理也. 《湯液》",중경은 계지로 발표시키고 육계로 신(腎)을 보하였다. 하늘에 바탕을 둔 것은 위와 친하고 땅에 바탕을 둔 것은 아래와 친하다. 이것이 자연의 이치인 것이다. 《탕액》,한의학고전DB
CLTX25,KMH47,동의보감,湯液篇卷之三 > 草部 下 > 藁本,"性微溫一云微寒, 味辛苦, 無毒. 治一百六十種惡風, 除風頭痛. 霧露, 療風邪曳, 療金瘡. 長肌膚, 悅顔色, 去面酒粉刺, 可作沐藥面脂.","성질이 약간 따뜻하고약간 차다고도 한다 맛은 맵고 쓰며 독이 없다. 160종의 악풍을 치료하고 풍으로 머리 아픈 것을 없앤다. 안개와 이슬에 상한 것을 물리치고, 풍사로 몸이 고달픈 것과 쇠붙이에 다친 상처를 치료한다. 살과 피부를 잘 자라게 하고 안색을 좋게 하며, 기미ㆍ주사ㆍ여드름을 없애니 목욕하는 약과 얼굴에 바르는 약으로 만들 수 있다.",한의학고전DB
CLTX26,KMH47,동의보감,湯液篇卷之三 > 草部 下 > 藁本,"葉似白芷香, 又似芎, 但蒿本葉細耳. 以其根上苗下似藁, 故名藁本. 正月二月採根, 暴乾, 三十日成. 《本草》","잎은 백지향이나 천궁과 유사한데, 고본은 다만 잎이 가늘 뿐이다. 그 뿌리가 위에 있고 싹이 그 밑에서 나는 것이 고목과 비슷해서 고본(藁本)이라고 하였다. 정월과 2월에 뿌리를 캐어 볕에 말린 지 30일이 지나면 약이 된다. 《본초》",한의학고전DB
CLTX27,KMH47,동의보감,湯液篇卷之三 > 草部 下 > 藁本,"太陽本經藥也. 中霧露淸邪必用之. 寒邪入太陽, 頭痛腦痛, 大寒犯腦, 令人腦痛, 齒亦痛. 其氣雄壯, 治頂痛. 與木香, 同治霧露之氣, 去蘆用之. 《湯液》","태양경의 본경약이니 안개ㆍ이슬 같은 서늘한 사기에 상했을 때 반드시 쓴다. 한사가 태양경에 침입하면 머리와 뇌가 아프고, 심한 한사(寒邪)가 뇌를 침범하면 뇌와 치아가 아프게 된다. 고본은 그 기운이 몹시 웅장해서 전정두통을 치료한다. 목향과 함께 쓰면 안개나 이슬에 상한 것을 치료하는데, 노두를 제거하고 쓴다. 《탕액》",한의학고전DB
CLTX28,KMH47,동의보감,湯液篇卷之三 > 草部 下 > 藁本,我國慶尙道玄風地有之. 《俗方》,경상도 현풍(玄風) 지방에서 자란다. 《속방》,한의학고전DB
CLTX29,KMH48,동의보감,湯液篇卷之三 > 草部 下 > 苦參,"性寒, 味苦, 無毒. 治熱毒風, 皮肌生瘡, 赤癩眉脫. 除大熱嗜睡, 明目止淚. 養肝膽氣. 除伏熱, 腸, 小便黃赤. 療齒痛及惡瘡, 下部.","성질이 차고 맛은 쓰며 독이 없다. 열독풍으로 피부와 살에 창(瘡)이 생긴 것과 적라(赤癩)로 눈썹이 빠지는 것을 치료한다. 심한 열로 잠만 자려는 것을 낫게 하고, 눈을 밝게 하며, 눈물을 멎게 한다. 간담의 기를 기른다. 잠복된 열을 없애고, 이질과 소변이 황적색인 것을 낫게 한다. 치통ㆍ악창과 음부가 헌 것을 치료한다.",한의학고전DB
CLTX30,KMH48,동의보감,湯液篇卷之三 > 草部 下 > 苦參,"處處有之, 葉極似槐, 故一名水槐, 一名地槐. 三月八月十月採根, 暴乾. 不入湯用. 《本草》","곳곳에 있다. 잎은 회화나무와 매우 비슷하여 수괴(水槐)ㆍ지괴(地槐)라고도 한다. 3월ㆍ8월ㆍ10월에 뿌리를 캐어 볕에 말려 쓰되, 탕제로는 쓰지 않는다. 《본초》",한의학고전DB
CLTX31,KMH48,동의보감,湯液篇卷之三 > 草部 下 > 苦參,"入足少陽經. 味至苦, 入口卽吐, 胃弱者愼用. 米浸一宿, 蒸三時久, 乾. 少入湯藥, 多作丸服. 治瘡酒浸, 治腸風, 炒至烟起, 爲末用. 《入門》","족소양경에 들어간다. 맛이 아주 써서 먹자마자 토할 정도이니 위(胃)가 약한 사람에게는 신중하게 써야 한다. 찹쌀뜨물에 하룻밤 담갔다가 6시간 동안 찐 후에 볕에 말린다. 탕제에는 잘 쓰지 않고 대부분 환약에 사용한다. 창(瘡)을 치료할 때는 술에 담갔다가 쓰고, 장풍을 치료할 때는 연기가 날 때까지 볶아서 가루내어 쓴다. 《입문》",한의학고전DB
CLTX32,KMH48,동의보감,湯液篇卷之三 > 草部 下 > 苦參,能峻補陰氣. 《丹心》,음기(陰氣)를 세게 보한다. 《단심》,한의학고전DB
CLTX33,KMH67,동의보감,湯液篇卷之三 > 木部 > 唐 藿香,"性微溫, 味辛, 無毒. 療風水毒腫. 去惡氣, 止亂. 治脾胃吐逆爲最要之藥. 《本草》",성질이 약간 따뜻하고 맛은 매우며 독이 없다. 풍수독(風水毒)으로 부은 데 주로 쓴다. 악기(惡氣)를 쫓고 곽란을 멎게 한다. 비위의 토역을 치료하는 데 중요한 약이다. 《본초》,한의학고전DB
CLTX34,KMH67,동의보감,湯液篇卷之三 > 木部 > 唐 藿香,"入手足太陰經. 止嘔吐, 發散風寒爲上. 《湯液》",수태음경과 족태음경에 들어간다. 구토를 멎게 하고 풍한사를 발산시키는 데 으뜸이다. 《탕액》,한의학고전DB
CLTX35,KMH67,동의보감,湯液篇卷之三 > 木部 > 唐 藿香,"藿虛燥, 古人乃以合熏香也. 《本草》",영곽(藿)은 속이 성기고 말랐는데 옛 사람들이 피우는 향을 만드는 데 넣었다. 《본초》,한의학고전DB
CLTX36,KMH67,동의보감,湯液篇卷之三 > 木部 > 唐 藿香,"入藥, 水洗去土梗, 用葉. 《入門》",약에 넣을 때는 물로 흙을 씻어내고 줄기를 제거한 후에 잎을 쓴다. 《입문》,한의학고전DB
CLTX37,KMH73,동의보감,湯液篇卷之三 > 草部 下 > 瓜蔞根 > 仁,"卽瓜蔞實中之子也. 性潤味甘, 能補肺. 潤能降氣. 胸有痰火者, 得甘緩潤下之助, 則痰自降, 宜爲治嗽要藥也. 《丹心》",하늘타리 열매 속에 있는 씨앗이다. 윤기가 나고 맛은 달아서 폐를 보한다. 윤기는 기를 내리게 한다. 가슴에 담화가 있을 때 달고 완만하며 윤택하게 내리는 약으로 도우면 담이 저절로 내려가니 해수를 치료하는 중요한 약이다. 《단심》,한의학고전DB
CLTX38,KMH73,동의보감,湯液篇卷之三 > 草部 下 > 瓜蔞根 > 仁,"九月十月實熟赤黃色時, 取子, 炒去殼去油用. 俗名瓜蔞仁. 《入門》",9월과 10월에 열매가 익어 붉고 누런색으로 될 때 씨를 받아 볶은 후에 껍질과 기름을 버리고 쓴다. 민간에서는 과루인이라고 한다. 《입문》,한의학고전DB
CLTX39,KMH83,동의보감,湯液篇卷之三 > 木部 > 枸杞子,"性寒一云平, 味苦一云甘, 無毒. 補內傷大勞噓吸, 堅筋骨, 强陰, 療五勞七傷, 補益精氣, 易顔色變白, 明目安神, 令人長壽.","성질이 차고평(平)하다고도 한다 맛은 쓰며달다고도 한다 독이 없다. 내상이나 심한 허로로 숨을 몰아쉬는 것을 보하고 근골을 튼튼하게 하며, 음(陰)을 강하게 하고 오로(五勞)와 칠상(七傷)을 치료하며, 정기(精氣)를 보하고 얼굴색을 희게 하며, 눈을 밝게 하고 정신을 안정시키며, 장수하게 한다.",한의학고전DB
CLTX40,KMH83,동의보감,湯液篇卷之三 > 木部 > 枸杞子,"一名地仙, 一名仙人杖, 處處有之. 春夏採葉, 秋採莖實. 久服之, 皆輕身益氣.","지선(地仙)ㆍ선인장(仙人杖)이라고도 하는데, 곳곳에 있다. 봄ㆍ여름에 잎을 따고 가을에 줄기와 열매를 딴다. 오래 먹으면 몸이 가벼워지고 기운이 난다.",한의학고전DB
CLTX41,KMH83,동의보감,湯液篇卷之三 > 木部 > 枸杞子,"嫩葉作羹茹食之, 甚佳. 色白無刺者良.",어린잎은 국이나 나물을 만들어 먹으면 매우 맛있다. 희고 가시가 없는 것이 좋다.,한의학고전DB
CLTX42,KMH83,동의보감,湯液篇卷之三 > 木部 > 枸杞子,"莖名枸杞, 根名地骨. 枸杞當用梗皮, 地骨當用根皮, 枸杞子當用其紅實, 是一物有三用. 其梗皮寒, 根皮大寒, 子微寒, 性亦三等.","줄기를 구기라 하고 뿌리를 지골이라고 한다. 구기는 줄기 껍질을 써야 하고, 지골은 뿌리 껍질을 써야 하며, 구기자는 붉은 열매를 써야 한다. 한 식물이 3가지 용도로 쓰이는 것이다. 줄기 껍질은 차고, 뿌리 껍질은 아주 차며, 열매는 약간 차니 성질도 3가지다.",한의학고전DB
CLTX43,KMH83,동의보감,湯液篇卷之三 > 木部 > 枸杞子,"陜西枸杞子如櫻桃, 全少核, 極有味. 《本草》","섬서(陜西)에서 나는 구기자는 앵두만 한데, 모두 씨가 적고 맛이 매우 좋다. 《본초》",한의학고전DB
CLTX44,KMH111,동의보감,湯液篇卷之二 > 菜部 > 桔梗,"性微溫一云平, 味辛苦, 有小毒. 治肺氣喘促, 下一切氣, 療咽喉痛, 及胸脇諸痛, 下蠱毒.","성질이 약간 따뜻하고평(平)하다고도 한다 맛은 맵고 쓰며 독이 조금 있다. 폐기로 숨이 가쁜 것을 치료하고, 온갖 기를 내리며, 목구멍이 아픈 것과 가슴과 옆구리가 아픈 것을 치료하고, 고독(蠱毒)을 없앤다.",한의학고전DB
CLTX45,KMH111,동의보감,湯液篇卷之二 > 菜部 > 桔梗,"處處有之, 生山中. 二月八月採根, 暴乾. 《本草》","곳곳에 있는데, 산 속에서 난다. 2월과 8월에 뿌리를 캐어 볕에 말린다. 《본초》",한의학고전DB
CLTX46,KMH111,동의보감,湯液篇卷之二 > 菜部 > 桔梗,"桔梗能載諸藥, 使不下沈, 升提氣血, 爲舟楫之劑. 手太陰引經藥也. 《丹心》",도라지는 모든 약을 실어 아래로 내려가지 않게 하고 기혈을 끌어올리니 배의 노와 같은 역할을 하는 약이다. 수태음경의 인경약이다. 《단심》,한의학고전DB
CLTX47,KMH111,동의보감,湯液篇卷之二 > 菜部 > 桔梗,"今人作菜茹, 四時長食之物也. 《俗方》",요즘 사람들은 나물로 만들어 사계절에 늘 먹는다. 《속방》,한의학고전DB
CLTX48,KMH118,동의보감,湯液篇卷之二 > 草部 上 > 絡石,"性微寒一云溫, 味苦, 無毒. 主癰腫不消, 喉舌腫, 金瘡. 去蛇毒心悶, 療癰傷, 口乾舌焦.","성질이 약간 차고따뜻하다고도 한다 맛은 쓰며 독이 없다. 옹종이 삭지 않는 것, 목구멍과 혀가 부은 것, 쇠붙이에 상한 데 주로 쓴다. 뱀독으로 가슴이 답답한 것을 없애고, 옹저와 입과 혀가 마르는 것을 치료한다.",한의학고전DB
CLTX49,KMH118,동의보감,湯液篇卷之二 > 草部 上 > 絡石,"一名石, 生木石間, 凌冬不凋. 葉似細橘, 蔓延木石之陰. 莖節着處, 卽生根鬚, 包絡石傍, 花白子黑. 六七月採莖葉, 日乾. 《本草》","석벽려(石)라고도 한다. 바위나 나무에 달라붙어서 자라고, 추운 겨울에도 시들지 않는다. 잎은 작은 귤잎 비슷하고, 그늘진 곳에서 나무와 바위에 붙어 덩굴로 뻗어 자란다. 줄기의 마디가 붙은 곳에 잔뿌리를 내려서 돌에 달라붙는다. 꽃은 희고 씨는 검다. 6～7월에 줄기와 잎을 뜯어서 볕에 말린다. 《본초》",한의학고전DB
CLTX50,KMH118,동의보감,湯液篇卷之二 > 草部 上 > 絡石,"根鬚包絡石上而生, 葉細圓者良. 絡木者不用. 《入門》",잔뿌리가 바위에 달라붙어 자란다. 잎이 작고 둥근 것이 좋으며 나무에 달라붙은 것은 쓰지 않는다. 《입문》,한의학고전DB
CLTX51,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"性溫, 味甘辛, 無毒. 治一切風ㆍ一切血ㆍ一切勞, 破惡血, 養新血. 及主癖, 婦人崩漏絶子. 療諸惡瘡瘍金瘡, 客血內塞, 止痢疾腹痛. 治溫, 補五藏, 生肌肉.","성질이 따뜻하고 맛은 달고 매우며 독이 없다. 모든 풍병ㆍ혈병ㆍ허로를 치료하고, 어혈을 풀며, 새로운 피를 생기게 한다. 징벽과 부인의 붕루ㆍ불임에 주로 쓴다. 여러 가지 악창과 쇠붙이에 상하여 어혈이 속에 뭉친 것을 치료하고, 이질복통을 멎게 한다. 온학을 치료하고 오장을 보하며 새살을 돋게 한다.",한의학고전DB
CLTX52,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"生山野, 或種蒔. 二月八月採根, 陰乾. 以肉厚而不枯者, 爲勝. 又云, 肥潤不枯燥者, 爲佳. 又云, 如馬尾者, 好.","산과 들에 자라는데, 심기도 한다. 2월과 8월에 뿌리를 캐어 그늘에서 말린다. 살이 많고 마르지 않은 것이 좋다. 또, 살지고 윤기가 있으며 마르지 않은 것이 좋은 것이라고도 한다. 또, 말꼬리와 같이 생긴 것이 좋은 것이라고도 한다.",한의학고전DB
CLTX53,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"要破血, 卽使頭一節硬實處, 要止痛止血, 卽用尾. 《本草》","어혈을 깨뜨리려고 할 때는 머리 쪽의 단단한 마디를 쓰고, 지혈시키거나 진통시킬 때에는 잔뿌리를 쓴다. 《본초》",한의학고전DB
CLTX54,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"用頭則破血, 用尾則止血. 若全用則一破一止, 卽和血也. 入手少陰, 以心主血也. 入足太陰, 以脾血也. 入足厥陰, 以肝藏血也. 《湯液》","머리 부분을 쓰면 어혈을 풀고, 잔뿌리를 쓰면 피를 멎게 한다. 전체를 다 쓰면 한편으론 어혈을 풀고, 한편으론 피를 멎게 한다. 이것이 바로 화혈(和血)하는 것이다. 심은 혈을 주관하니[心主血] 수소음에 들어가고, 비는 혈을 감싸니[脾血] 족태음에 들어가며, 간은 혈을 간직하니[肝藏血] 족궐음에 들어간다. 《탕액》",한의학고전DB
CLTX55,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"氣血昏亂者, 服之卽定, 各有所當歸之功. 治上酒浸, 治外酒洗, 血病酒蒸, 痰用薑汁炒. 《入門》","기혈이 문란되었을 때, 먹으면 안정된다. 돌아가야 할 곳으로 돌아가게 하는 효능이 있기 때문이다. 상부의 병을 낫게 하려면 술에 담가 쓰고, 외부의 병을 낫게 하려면 술에 씻어 쓴다. 혈병에는 술에 쪄서 쓰고, 담병에는 생강즙에 축여 볶아 쓴다. 《입문》",한의학고전DB
CLTX56,KMH158,동의보감,湯液篇卷之三 > 草部 下 > 當歸,"得酒浸過, 良. 《東垣》",술에 담갔다가 쓰는 것이 좋다. 《동원》,한의학고전DB
CLTX57,KMH165,동의보감,湯液篇卷之三 > 木部 > 唐 檳 > 大腹皮,"性微溫, 無毒. 下一切氣, 止亂, 通大小腸. 治痰隔醋心. 建脾開胃, 泄浮腫脹滿.",성질이 약간 따뜻하고 독이 없다. 모든 기를 내리고 곽란을 멎게 하며 대소장을 잘 통하게 한다. 담(痰)이 격막에 있고 명치가 쓰린 것을 치료한다. 비를 튼튼하게 하고 식욕을 돋우며 부종과 창만을 치료한다.,한의학고전DB
CLTX58,KMH165,동의보감,湯液篇卷之三 > 木部 > 唐 檳 > 大腹皮,"大腹所出, 與檳相似, 但莖葉根小異. 幷皮收之. 《本草》","대복피는 분포지역이 빈랑나무와 비슷하지만, 가지ㆍ잎ㆍ뿌리ㆍ몸통이 약간 다르다. 껍질째 딴다. 《본초》",한의학고전DB
CLTX59,KMH165,동의보감,湯液篇卷之三 > 木部 > 唐 檳 > 大腹皮,"腹大而平者名大腹, 尖者, 名檳. 《入門》","배가 크면서 평평한 것을 대복이라 하고, 뾰족한 것을 빈랑이라고 한다. 《입문》",한의학고전DB
CLTX60,KMH165,동의보감,湯液篇卷之三 > 木部 > 唐 檳 > 大腹皮,"鳥多栖此樹上. 凡用皮, 先以酒洗, 仍以黑豆汁洗, 焙乾, 方可用. 《本草》",짐새[鳥]가 흔히 이 나무 위에서 서식한다. 껍질을 쓴다. 먼저 술로 씻고 다시 검정콩 삶은 물로 씻어 불에 쬐어 말려 쓴다. 《본초》,한의학고전DB
CLTX61,KMH173,동의보감,湯液篇卷之三 > 草部 下 > 大黃,"性大寒, 味苦, 無毒一云有毒. 主下瘀血血閉, 破積聚, 通利大小腸, 除溫熱疾, 療癰疽瘡癤毒腫, 號爲將軍.","성질이 아주 차고 맛은 쓰며 독이 없다. 독이 있다고도 한다 어혈로 월경이 나오지 않는 것을 나오게 하고, 징가와 적취를 깨뜨리며, 대소장을 잘 통하게 하고, 온학과 열병을 없애며, 옹저ㆍ창절, 심하게 부은 것을 치료하는 데 주된 역할을 하여 장군이라고 부른다.",한의학고전DB
CLTX62,KMH173,동의보감,湯液篇卷之三 > 草部 下 > 大黃,"在處有之. 二月八月採根, 去黑皮, 火乾, 錦紋者佳. 《本草》",곳곳에 있다. 2월과 8월에 뿌리를 캐어 검은 껍질을 벗기고 불에 말린다. 비단무늬가 있는 것이 좋다. 《본초》,한의학고전DB
CLTX63,KMH173,동의보감,湯液篇卷之三 > 草部 下 > 大黃,"蕩滌實熱, 推陳致新, 謂如戡定禍亂, 以致太平, 所以有將軍之名. 《湯液》","실열(實熱)을 치되, 묵은 것을 내몰고 새 것이 생겨나게 하는 것이 재난과 혼란을 평정하여 태평스럽게 하는 것과 같아 장군이라는 이름이 생겼다. 《탕액》",한의학고전DB
CLTX64,KMH173,동의보감,湯液篇卷之三 > 草部 下 > 大黃,"入手足陽明經, 酒浸入太陽, 酒洗入陽明, 餘經不用酒. 盖酒浸良久, 稍薄其味, 而借酒力上升至高之分, 酒洗亦不至峻下. 故承氣湯俱用酒浸, 惟小承氣生用, 或熟, 或酒浸蒸熟, 量虛實用. 《入門》","수양명경과 족양명경에 들어간다. 술에 담그면 태양경에 들어가고, 술에 씻으면 양명경에 들어간다. 나머지 경락에는 술을 쓰지 않는다. 술에 오랫동안 담그면 맛이 약해지나 술의 힘을 빌려 가장 높은 곳까지 상승하게 되고, 술에 씻으면 설사시키는 작용이 그다지 심하지 않게 된다. 그러므로 승기탕에는 모두 술에 담가서 쓰되, 소승기탕만 생것을 쓴다. 혹 밀가루로 싸서 잿불에 구워 익히거나 술에 담근 다음 쪄서 익히는데, 허실을 살펴서 쓴다. 《입문》",한의학고전DB
CLTX65,KMH173,동의보감,湯液篇卷之三 > 草部 下 > 大黃,"酒炒上達頭頂, 酒洗中至胃脘, 生用則下行. 《回春》","술에 볶으면 머리꼭대기로 오르고, 술에 씻으면 위완(胃脘)에 이르며, 생것을 쓰면 아래로 내려간다. 《회춘》",한의학고전DB
